protein_id,kd,scoreSB_CB,scoreMDS_CB,scoreMDW_CB,scoreKP_CB,scoreRRP_CB,scoreMNJ_Etot_CB,scoreMNJ_Elj_CB,scoreMNJ_Ee_CB,scoreMNJ_Ehb_CB,scoreEE_CB,scoreEC_CB,scoreSB_CA,scoreMDS_CA,scoreMDW_CA,scoreKP_CA,scoreRRP_CA,scoreMNJ_Etot_CA,scoreMNJ_Elj_CA,scoreMNJ_Ee_CA,scoreMNJ_Ehb_CA,scoreEE_CA,scoreEC_CA,scoreSB_BB_NB_CB,scoreMDS_BB_NB_CB,scoreMDW_BB_NB_CB,scoreKP_BB_NB_CB,scoreRRP_BB_NB_CB,scoreMNJ_BB_NB_Etot_CB,scoreMNJ_BB_NB_Elj_CB,scoreMNJ_BB_NB_Ee_CB,scoreMNJ_BB_NB_Ehb_CB,scoreEE_BB_NB_CB,scoreEC_BB_NB_CB,scoreSB_BB_Bt_CA,scoreSB_BB_B_CA,scoreSB_BB_NB_CA,scoreMDS_BB_NB_CA,scoreMDW_BB_NB_CA,scoreKP_BB_NB_CA,scoreRRP_BB_B_CA,scoreRRP_BB_NB_CA,scoreMNJ_BB_NB_Etot_CA,scoreMNJ_BB_NB_Elj_CA,scoreMNJ_BB_NB_Ee_CA,scoreMNJ_BB_NB_Ehb_CA,scoreEE_BB_NB_CA,scoreEC_BB_NB_CA
best_model_3423,11.7937548791502,-0.64,-0.94,1.76,-0.92,-16.2,-160.37,-158.03,-1.73,-0.62,4.18,-7.74,-0.66,-5.12,-3.11,-1.06,1.89,-2.68,-2.66,0,-0.02,-0.16,-0.62,26.84,29.8,27.6,95.46,-7.25,-16.97,-17.17,0.45,-0.25,7.48,39.91,-21,-12,8.06,11.16,8.76,22.96,-2.33,2.81,-8.24,-8.3,0.21,-0.16,5.03,27.36
best_model_3424,11.617695344583,-0.5,-3.79,-0.35,-0.64,-23.78,-168.75,-166.46,-1.69,-0.59,2.34,-7.86,-1.66,-4.52,-3.64,-1.58,1.53,-0.43,-0.41,0,-0.02,0.98,-0.46,27.64,30.55,28.41,94.38,-6.81,-18.09,-18.32,0.47,-0.25,7.47,39.97,-25,-12,8.13,11.11,8.76,24.34,-2.46,2.83,-7.51,-7.54,0.2,-0.16,5.15,27.77
best_model_3425,6.66233976700217,13.92,39.53,28.13,9.92,-7.4,-221.56,-234.59,14.48,-1.46,6.58,5,0.06,1.28,-1.33,1.02,-0.79,-38.51,-40.05,1.82,-0.28,2.4,-0.68,12.7,14.98,13.88,5.88,-3.03,-10.6,-10.73,0.29,-0.17,4.14,21.87,-40,-4,4.57,6.25,5.51,-10.84,-0.54,2.9,-5.4,-5.53,0.22,-0.08,2.99,15.43
best_model_3426,5.59245210542506,11.88,21.78,20.51,8.72,-7.9,-214.6,-222.52,9.31,-1.4,5.14,2.26,0.06,1.28,-1.33,1.02,0.05,-35.51,-37.04,1.79,-0.27,2.4,-0.68,12.15,14.28,13.3,3.78,-3.15,-11.27,-11.4,0.29,-0.16,4.06,21.3,-40,-4,4.42,6.08,5.39,-11.28,-0.54,2.85,-5.39,-5.51,0.2,-0.08,2.95,15.17
best_model_3427,5.1257557789056,8.46,11.69,17.73,6.74,-6.23,-189.4,-197.06,9.04,-1.38,5.4,2.06,-3.02,-8.46,-4.14,-0.16,-0.5,-38.23,-38.06,0.08,-0.26,2.08,-1.5,11.87,14.16,13.08,4.74,-2.92,-8.2,-8.34,0.3,-0.15,4.03,21.4,-40,-4,4.42,6.17,5.41,-9.54,-0.52,2.9,-5.1,-5.24,0.22,-0.08,2.95,15.37
best_model_3428,7.14258851971003,15.86,48.53,30.36,9.62,-8.17,-18.58,-32.19,14.32,-0.7,8.1,9.04,0.7,11.84,0.23,0.76,-3.57,1.19,-0.61,1.84,-0.04,4.18,5.4,12.48,14.79,13.67,1.76,-3.89,-44.91,-45,0.29,-0.21,4.05,21.34,-39,-4,4.38,5.97,5.29,-10.98,-0.55,2.89,-5.57,-5.67,0.19,-0.09,2.96,15.25
best_model_343,7.04448813140083,3.86,3.41,2.65,0.28,-7.78,-40.36,-43.57,4.02,-0.82,1.96,-0.18,1.92,2.79,-1.53,-0.58,6.71,-9.39,-11.1,1.9,-0.19,1.6,-1.62,5.28,6.15,5.74,43.7,-1.83,-21.79,-22.11,0.45,-0.12,0.79,8.6,-10,1,3.29,3.66,3.66,22.36,-0.46,1.14,-4.57,-4.74,0.25,-0.08,0.48,5.69
best_model_3430,7.02009808734221,10.86,27.27,13.27,8.28,-8.03,-196.86,-202.95,7.48,-1.39,3.12,0.96,-0.2,1.98,0.57,1.56,-1.38,-36.6,-38.17,1.85,-0.28,2.64,-0.14,12.14,14.29,13.2,1.82,-2.97,-6.77,-6.81,0.18,-0.15,4,21,-40,-4,4.57,6.19,5.5,-11.42,-0.53,2.89,-5.81,-5.9,0.17,-0.08,2.92,14.98
best_model_3431,6.50328382388463,13.68,39.07,26.15,9.9,-4.86,-189.98,-201.69,13.08,-1.36,6.62,5.04,0.06,1.28,-1.33,1.02,-0.61,-37.99,-39.57,1.85,-0.27,2.4,-0.68,12.01,14.05,13.1,-4.06,-3.39,-14.04,-14.05,0.17,-0.16,4.05,21.08,-40,-4,4.53,5.91,5.39,-16.28,-0.56,2.89,-5.57,-5.59,0.1,-0.08,2.89,14.87
best_model_3432,7.14562288733226,11.08,24.98,20.58,8.16,-5.36,-178.89,-188.47,10.91,-1.32,7.26,4,0.06,1.28,-1.33,1.02,-0.4,-35.36,-36.93,1.84,-0.27,2.4,-0.68,12.05,14.22,13.16,1.22,-3.07,-10.12,-10.19,0.24,-0.16,3.96,21.07,-40,-4,4.42,6,5.31,-11.26,-0.52,2.85,-5.97,-6.07,0.18,-0.09,2.91,15.12
best_model_3433,7.03025025783465,11.54,32.64,17.7,8.54,-3.02,-167.5,-177.23,11,-1.27,7.26,4.52,-0.58,2.22,0,1.2,-0.43,-37.29,-38.87,1.84,-0.26,2.58,0.06,11.75,13.99,12.93,-0.82,-3.49,-18.05,-18.18,0.31,-0.17,3.98,21.16,-41,-4,4.5,5.98,5.36,-16.26,-0.55,2.88,-5.43,-5.53,0.19,-0.08,2.94,15
best_model_3434,5.4391132912234,12.92,34.73,24.51,9.28,-3.72,-174.48,-185.84,12.75,-1.4,7.56,5.04,0.06,1.28,-1.33,1.02,-0.5,-37.29,-38.83,1.82,-0.27,2.4,-0.68,12.28,14.41,13.42,-7.18,-3.47,-8.26,-8.31,0.2,-0.15,3.99,20.93,-40,-4,4.53,5.93,5.39,-16.56,-0.52,2.85,-5.74,-5.78,0.12,-0.08,2.93,15.14
best_model_3435,6.84954665504481,8.58,12.76,12.99,6.8,-5.69,-195.63,-203.45,9.17,-1.35,6.98,2.1,-2.38,-11.92,-7.69,-0.64,0,-34.98,-34.81,0.08,-0.25,1.96,-2.12,11.54,13.63,12.61,4.84,-3.22,-8.59,-8.67,0.23,-0.15,4.06,21.34,-42,-6,4.59,6.12,5.43,-11.28,-0.61,2.83,-5.29,-5.35,0.14,-0.08,2.93,15.11
best_model_3436,5.42499119321841,0.72,30.65,9.42,-0.62,-18.96,14.63,16.11,-1.24,-0.23,4.78,-0.06,0.72,16.72,-0.71,-0.64,6.31,-2.4,-2.69,0.29,0,5.48,4.16,14.6,16.41,15.21,17.92,-2.72,-16.72,-16.61,-0.03,-0.08,4.62,28.18,-21,-3,7.29,8.81,7.82,7.28,-6.81,2.3,1.62,1.56,0.11,-0.05,3.77,22.24
best_model_3437,4.22986048765076,3.3,37.43,11.01,0.84,-26.49,47.91,46.01,2.21,-0.31,7.1,3.3,0.54,21.19,1.11,-0.7,6.05,-2.31,-2.61,0.31,0,6.08,3.96,14.38,16.22,15.02,23.3,-2.8,-16.7,-16.7,0.07,-0.07,4.71,28.67,-21,-3,7.23,8.67,7.78,3.3,-6.75,2.3,0.47,0.5,0.02,-0.05,3.71,22.06
best_model_3438,5.06358031840586,4,43.61,15.65,1.88,-22.42,14.7,12.74,2.25,-0.28,7.1,4.14,0.72,16.72,-0.71,-0.64,6.33,-2.61,-2.91,0.31,0,5.48,4.16,14.56,16.22,15.17,20.28,-2.71,-16.1,-16.05,0.03,-0.08,4.79,28.62,-27,1,7.46,8.89,8.01,7.18,-6.69,2.26,0.86,0.84,0.07,-0.05,3.79,22.26
best_model_3439,7.76815132127234,-1.38,-0.14,6.72,-0.06,-27.15,251.73,249.67,2.73,-0.67,2.8,-0.3,1.98,3.51,3.26,1.44,5.81,1.88,0.08,1.77,0.03,6.5,1.78,24.03,25.73,25,33.42,-3.12,-6.5,-6.57,0.32,-0.24,9.27,58.78,7,13,10.35,12.09,11.56,12.72,-3.02,4.37,-5.95,-5.88,0.1,-0.18,7.2,46.51
best_model_344,6.85263717513552,3.8,5.8,3.73,-0.4,-0.16,-40.38,-43.57,4.01,-0.81,1.7,-0.38,2.44,2.89,0.88,-0.5,5.84,-9.89,-11.53,1.89,-0.26,0.38,-1.98,5.51,6.38,5.95,43.46,-2.06,-63.65,-63.93,0.41,-0.12,0.77,8.48,-11,3,3.52,4.01,3.95,22.74,-1.57,1.16,-4.42,-4.62,0.29,-0.08,0.49,5.85
best_model_3440,7.07444595662314,-2.06,5.5,7.23,-0.68,-28.62,254.22,252.03,3.24,-1.06,3.28,0.24,1.98,6.04,2.24,0.96,8.14,3.9,2.16,1.71,0.03,7.12,0.72,23.02,24.73,23.94,32.64,-3.28,-12.85,-12.91,0.29,-0.24,9.27,58,9,13,10.3,12.09,11.49,9.06,-3.13,4.28,-6.87,-6.78,0.09,-0.18,7.2,46.31
best_model_3441,8.37524155955584,-2.9,-2.45,9.75,-1.08,-25.14,235.94,231.42,5.52,-1,1.4,-2.08,0.74,1.95,5.46,0.58,7.96,5.65,2.19,3.42,0.04,6.74,1.06,22.43,23.99,23.39,30.36,-2.8,-7.74,-7.74,0.24,-0.23,9.26,58.68,7,15,10.6,12.38,11.85,9.84,-3.37,4.27,-6.39,-6.3,0.08,-0.18,7.21,46.41
best_model_3442,9.99819840640057,-0.96,2.25,7.24,-2.04,-23.02,203.88,203.82,0.34,-0.28,2.9,1.8,1.3,2.43,0.59,-0.46,8.51,3.21,3.15,0,0.06,8.28,2.34,24.32,25.92,25.32,32.5,-2.66,-18.1,-18.15,0.29,-0.24,9.26,58.35,7,15,9.94,11.79,11.22,11.56,-4.67,4.36,-6.29,-6.23,0.12,-0.18,7.21,46.23
best_model_3443,9.99819840640057,2.4,2.05,2.58,6.4,-31.92,189.65,189.5,0.51,-0.36,11.9,13.38,2.38,1.58,-3.11,3.2,10.71,2.76,2.79,-0.1,0.07,12.16,8.24,24.13,25.73,25.12,27.36,-2.81,-5.14,-5.19,0.27,-0.23,9.33,58.35,14,15,10.36,12.15,11.6,11.12,-3.01,4.35,-6.39,-6.32,0.11,-0.18,7.28,46.78
best_model_3444,6.48031835974203,-2.76,5.59,12.78,-1.16,-30.87,295.17,293,3.14,-0.98,-1.16,-1.82,1.72,5.9,5.44,0.38,7.86,3.83,2.11,1.69,0.03,2.3,-1.88,24.45,26.09,25.5,30.18,-3.26,-12.83,-12.96,0.37,-0.24,9.28,58.36,7,13,10.73,12.54,11.96,11.26,-4.99,4.36,-6.84,-6.77,0.11,-0.18,7.17,46.27
best_model_3445,5.9197520630353,-3.28,-10.54,3.48,-1.66,-26.81,222.17,222.03,1.05,-0.91,-0.32,-0.2,-1.16,-10.56,-3.73,-0.8,7.28,2.35,2.13,0.18,0.04,5.72,-0.1,24.04,25.74,25.03,40.42,-2.86,-6.57,-6.66,0.31,-0.23,9.28,59.76,7,11,10.52,12.26,11.7,14.02,-2.99,4.41,-6.03,-5.94,0.09,-0.18,7.19,46.54
best_model_3446,7.28268437618975,-2.9,-2.45,9.75,-1.08,-25.14,235.94,231.42,5.52,-1,1.4,-2.08,0.74,1.95,5.46,0.58,7.96,5.65,2.19,3.42,0.04,6.74,1.06,22.43,23.99,23.39,30.36,-2.8,-7.74,-7.74,0.24,-0.23,9.26,58.68,7,15,10.6,12.38,11.85,9.84,-3.37,4.27,-6.39,-6.3,0.08,-0.18,7.21,46.41
best_model_3447,9.52116310954073,-0.96,2.25,7.24,-2.04,-23.02,203.88,203.82,0.34,-0.28,2.9,1.8,1.3,2.43,0.59,-0.46,8.51,3.21,3.15,0,0.06,8.28,2.34,24.32,25.92,25.32,32.5,-2.66,-18.1,-18.15,0.29,-0.24,9.26,58.35,7,15,9.94,11.79,11.22,11.56,-4.67,4.36,-6.29,-6.23,0.12,-0.18,7.21,46.23
best_model_3448,8.95699333788194,2.4,2.05,2.58,6.4,-31.92,189.65,189.5,0.51,-0.36,11.9,13.38,2.38,1.58,-3.11,3.2,10.71,2.76,2.79,-0.1,0.07,12.16,8.24,24.13,25.73,25.12,27.36,-2.81,-5.14,-5.19,0.27,-0.23,9.33,58.35,14,15,10.36,12.15,11.6,11.12,-3.01,4.35,-6.39,-6.32,0.11,-0.18,7.28,46.78
best_model_3449,4.99909920320026,21.79,38.89,32.6,2.26,-21.3,-220.33,-225.24,6.93,-2.02,3.36,3.96,4.59,21.17,15.28,1.7,1.86,-9.97,-15.73,6.01,-0.24,3.36,4.92,0.5,0.47,0.52,-1,-0.31,-0.24,-0.26,0.03,-0.01,0.35,3.17,1,2,0.63,0.72,0.65,-1.48,-0.24,0.28,-0.27,-0.28,0.01,-0.01,0.28,2.15
best_model_345,6.85263717513552,3.48,2.38,5.28,-0.68,4.27,-40.74,-43.82,3.95,-0.86,0.86,-1.4,2.2,1.38,1.65,-1.12,6.54,-7.84,-9.47,1.89,-0.26,0.24,-2.2,5.47,6.48,5.96,49.82,-1.79,-47.07,-47.44,0.49,-0.11,0.86,9.09,-10,4,3.53,3.97,3.87,28.34,-1.5,1.15,-4.53,-4.71,0.27,-0.09,0.49,5.95
best_model_3450,4.56781315326092,23.15,36.53,27.85,2.52,-38.32,-321.97,-324.41,3.84,-1.4,7.82,6.76,3.37,13.01,11.09,0.06,2.48,69.2,67.18,2.12,-0.09,10.98,10.32,0.49,0.45,0.48,0.82,-0.1,-1.24,-1.28,0.07,-0.02,0.41,3.18,0,2,0.65,0.76,0.71,-0.98,-0.26,0.28,0.13,0.13,0.02,-0.01,0.3,2.22
best_model_3451,4.69812344090764,22.63,33.49,26.7,2.32,-31.12,-79.21,-82.21,3.92,-0.92,8.6,10.2,1.22,9.9,6.92,0.46,1.72,42.9,40.87,2.12,-0.1,8.56,9.92,0.49,0.41,0.52,-1.48,-0.23,-1.18,-1.23,0.07,-0.02,0.36,3.21,0,2,0.65,0.76,0.71,-0.98,-0.25,0.27,-0.45,-0.46,0.02,-0.01,0.3,2.22
best_model_3452,4.61895646010261,23.19,36.34,27.9,2.78,-28.19,-208.98,-211.8,3.98,-1.16,8.08,6.46,3.24,13.36,8.39,0.5,-2.65,88.51,86.41,2.22,-0.12,9.98,9.36,0.72,0.78,0.83,-1.12,-0.11,-1.44,-1.47,0.05,-0.02,0.36,3.34,0,2,0.84,0.96,0.9,-0.32,-0.25,0.29,0.14,0.13,0.02,-0.01,0.3,2.27
best_model_3453,4.85299749385541,6.08,19.92,12.95,1.98,-22.08,-246.9,-249.38,3.67,-1.19,4.14,4.84,1.48,8.56,10.93,-0.2,-9.46,-15.09,-17.19,2.24,-0.14,4.18,3.46,0.48,0.51,0.58,-0.52,-0.36,-1.35,-1.37,0.05,-0.03,0.4,3.37,1,1,0.63,0.74,0.68,-1.5,-0.23,0.23,-0.48,-0.48,0.01,-0.01,0.32,2.48
best_model_3454,4.79501599466978,24.41,43.2,33.76,4.24,-6.83,-84.55,-91.36,8.01,-1.2,4.08,5.34,2.67,16.56,12.84,2.48,-3.63,-65.49,-71.2,5.92,-0.21,3.04,4.74,0.68,0.73,0.81,-2.18,-0.27,-1.92,-1.94,0.04,-0.02,0.32,3.01,1,4,0.61,0.63,0.63,-2.9,-0.26,0.31,-0.63,-0.62,0,-0.01,0.33,2.44
best_model_3455,4.33646077354545,21.87,32.58,27.51,1.6,-16.26,-145.72,-148.9,4.18,-0.99,9.82,8.92,3.32,10.09,11.42,-0.12,-15.29,283.33,281.18,2.28,-0.13,10.96,11.46,0.48,0.47,0.49,-1.34,-0.19,-1.3,-1.36,0.08,-0.02,0.42,3.24,1,1,0.61,0.65,0.64,-2.62,-0.25,0.28,-0.42,-0.41,0,-0.01,0.32,2.42
best_model_3456,4.17970291616928,5.74,13.8,9.97,2.44,-15.23,23.25,21.72,2.03,-0.5,9.1,10.46,3,11.38,9.94,-0.06,-0.6,46.16,44.18,2.04,-0.06,10.22,12.28,0.69,0.74,0.79,0.26,-0.13,-1.7,-1.76,0.08,-0.02,0.46,3.83,1,1,0.43,0.44,0.48,-3.48,-0.24,0.29,-0.19,-0.16,-0.02,-0.01,0.31,2.35
best_model_3457,4.48067867846192,24.15,36.46,27.2,3.38,-24.72,-80.4,-83.65,4.26,-1.01,11.26,10.1,3.41,10.52,9.35,0.38,-0.29,68.61,66.4,2.38,-0.16,10.82,11.32,0.67,0.69,0.79,-2.34,-0.35,-1.47,-1.5,0.05,-0.02,0.36,2.95,0,1,0.44,0.52,0.5,-2.7,-0.24,0.29,-0.29,-0.28,0,-0.01,0.33,2.41
best_model_3458,4.11276818762944,5.16,14.02,13.15,1.72,-3.82,19.13,17.17,2.53,-0.57,2.86,4.2,2.48,10.84,12.71,-1.04,-6.14,-180.54,-181.74,2.24,-1.04,3.94,4,0.49,0.51,0.54,-0.36,-0.29,-2.11,-2.09,0.01,-0.03,0.32,2.79,1,-1,0.47,0.48,0.48,-1.02,-0.21,0.23,-0.74,-0.72,-0.01,-0.01,0.28,2.26
best_model_3459,3.59623146731947,22.33,37.51,30.38,2.62,-7.77,-28.47,-32.02,4.66,-1.11,0.66,3.58,2.18,14.19,10.71,1.84,-0.45,-232.48,-235.45,3.2,-0.23,-0.3,2.8,0.87,0.9,0.9,-0.68,-0.25,-1.72,-1.74,0.05,-0.03,0.37,3.11,1,2,0.68,0.83,0.72,1.52,-0.21,0.26,-0.18,-0.2,0.03,-0.01,0.26,2.28
best_model_346,6.12966376497968,3.66,0.98,4.84,-0.44,3.49,-48.08,-51.23,4,-0.85,0.72,-3.6,2.12,0.18,0.17,-1.14,6.34,-8.17,-9.81,1.89,-0.26,-1.4,-3.96,5.5,6.37,5.92,49.08,-2.15,-50.54,-50.86,0.49,-0.17,0.78,8.7,-10,-2,3.65,3.97,3.97,22.92,-0.44,1.11,-4.53,-4.68,0.24,-0.09,0.46,5.51
best_model_3460,3.74405284718804,5.2,17.99,10.82,1.72,-11,-45.56,-48.5,3.66,-0.73,7.36,6,1.74,9.35,10.84,-1.06,-6.13,80.35,78.32,2.13,-0.11,10.06,8.28,0.7,0.69,0.69,-0.62,-0.19,-1.84,-1.83,0.02,-0.02,0.36,3.03,1,-1,0.48,0.49,0.47,-0.24,-0.26,0.23,-0.51,-0.49,-0.01,-0.01,0.27,2.28
best_model_3461,3.69183872293638,20.51,24.39,21.56,1.54,-24.93,55.16,53.2,2.59,-0.63,8.72,7.86,2.32,11.29,8.89,0.08,0.68,-14.87,-17.13,2.45,-0.19,9.82,10,0.64,0.6,0.62,-0.9,-0.16,-1.86,-1.86,0.03,-0.03,0.29,2.82,1,-1,0.67,0.74,0.69,0.84,-0.24,0.27,-0.52,-0.52,0.01,-0.01,0.28,2.33
best_model_3462,3.42419514310655,3.42,8.74,6.87,0.76,-6.24,44.63,42.78,2.27,-0.43,6.46,5.32,1.15,9.53,7.91,-1.16,-0.09,19.86,17.64,2.34,-0.12,8.3,8.14,0.66,0.68,0.65,0.36,-0.28,-1.67,-1.69,0.04,-0.02,0.33,2.8,1,-1,0.69,0.84,0.73,1.96,-0.22,0.26,-0.22,-0.24,0.03,-0.01,0.28,2.39
best_model_3463,4.76869179935219,4.26,11.07,10.24,0.98,-5.79,-3.57,-5.16,2.09,-0.5,4.24,3.7,1.07,9.67,11.59,-0.26,-4.98,18.41,16.36,2.14,-0.1,5.44,3.52,0.48,0.52,0.56,-0.08,-0.26,-1.76,-1.79,0.06,-0.03,0.39,3.29,0,2,0.67,0.81,0.74,-1.06,-0.22,0.31,-0.42,-0.43,0.02,-0.01,0.3,2.44
best_model_3464,4.88517637885484,21.37,36.65,32.04,1.92,-16.3,-193.2,-198.66,7.18,-1.72,3.64,4.12,4.16,18.61,16.06,1.66,-0.4,6.84,1.03,6.08,-0.27,4.14,5.18,0.5,0.46,0.52,-0.7,-0.16,-1.69,-1.73,0.07,-0.02,0.41,3.33,1,2,0.63,0.73,0.65,-2.18,-0.24,0.27,-0.35,-0.35,0.02,-0.01,0.28,2.35
best_model_3465,4.72039582231776,22.15,25.94,22.85,1.72,-9.5,14.07,11.83,2.69,-0.45,8,7,3.7,11.21,11.41,0.24,0.25,57.17,54.96,2.33,-0.12,12.76,12,0.69,0.78,0.76,0.62,-0.08,-2.2,-2.24,0.07,-0.02,0.38,3.28,0,2,0.64,0.77,0.71,-1.68,-0.22,0.3,-0.21,-0.22,0.02,-0.01,0.3,2.42
best_model_3466,4.58420061656222,20.85,24.3,21.69,1.48,-18.23,-39.76,-41.63,2.76,-0.89,7.88,6.62,3.55,10.88,10.17,0.58,0.82,46.8,44.58,2.4,-0.17,12.26,12,0.5,0.49,0.54,0.44,-0.15,-2.22,-2.24,0.05,-0.03,0.38,3.52,0,2,0.62,0.66,0.66,-2.92,-0.21,0.27,-0.38,-0.38,0,-0.01,0.29,2.38
best_model_3467,4.58420061656222,21.87,27.3,21.4,2,-5.47,31.92,30.19,2.28,-0.55,11.02,9.46,1.59,9.19,4.94,1.02,4.58,72.63,70.56,2.16,-0.09,11.32,10.64,0.7,0.79,0.77,1.46,-0.28,-1.77,-1.81,0.07,-0.02,0.37,3.22,1,2,0.62,0.75,0.7,-2.78,-0.29,0.3,-0.67,-0.68,0.02,-0.01,0.27,2.33
best_model_3468,5.04484845012076,6.7,20.94,13.46,2.96,-6.37,22.53,19.26,3.9,-0.63,3.24,4.94,2.98,12.87,13.43,-0.54,-1.06,37.13,34.97,2.29,-0.12,4.04,3.98,0.48,0.41,0.48,-1.66,-0.26,-1.68,-1.69,0.04,-0.03,0.35,2.99,1,-1,0.66,0.74,0.7,0.28,-0.22,0.22,-0.29,-0.3,0.01,-0.01,0.3,2.29
best_model_3469,4.99909920320026,20.51,28.93,28.9,1.42,-17.21,-350.53,-353.72,5.42,-2.23,2.88,3.5,4.91,19.86,16.04,1.58,0.74,-38.05,-43.34,5.98,-0.69,3.46,5.2,0.48,0.34,0.46,-0.72,-0.09,-1.91,-1.95,0.07,-0.03,0.39,3.1,0,-1,0.48,0.53,0.53,-0.54,-0.27,0.28,-0.46,-0.45,0,-0.01,0.29,2.23
best_model_347,6.65637789430921,3.48,2.38,5.28,-0.68,3.71,-41.35,-44.54,3.99,-0.8,0.86,-1.4,2.2,1.38,1.65,-1.12,6.63,-7.78,-9.42,1.89,-0.26,0.24,-2.2,6.06,7.02,6.53,48.08,-1.55,-16.77,-17.09,0.44,-0.12,0.93,9.51,-9,-2,3.28,3.64,3.63,23.3,-0.42,1.16,-4.49,-4.65,0.25,-0.08,0.51,5.8
best_model_3470,4.32712242998446,22.13,35.68,27.03,1.64,-6.83,15.25,11.83,3.97,-0.54,7.22,6.32,1.17,9.51,8.6,-0.12,-1.3,12.49,10.37,2.24,-0.12,9.96,8.54,0.66,0.64,0.67,-1.38,-0.29,-1.42,-1.44,0.05,-0.03,0.35,2.93,1,-1,0.49,0.48,0.52,-1.08,-0.22,0.26,-0.17,-0.14,-0.02,-0.01,0.29,2.18
best_model_3471,4.1930644700845,20.77,24.48,22.02,0.96,-29.25,18.61,16.56,2.83,-0.78,8.48,8.04,1.99,11.01,9.05,-1.28,2.29,10.4,8.19,2.32,-0.12,9.72,9.54,0.67,0.63,0.65,0.52,-0.28,-1.62,-1.64,0.05,-0.02,0.37,3.27,1,-1,0.29,0.32,0.31,-0.54,-0.26,0.26,-0.24,-0.24,0,-0.01,0.28,2.18
best_model_3472,4.35576245073643,5.66,20,11.55,1.8,-6.27,25.89,22.67,3.73,-0.52,7.74,6.48,1.96,12.06,9.19,-1.12,-3.82,32.99,30.96,2.12,-0.09,9.72,8.56,0.66,0.66,0.66,-0.2,-0.27,-1.95,-1.99,0.07,-0.03,0.37,3.01,0,-1,0.48,0.53,0.54,-0.58,-0.23,0.27,-0.33,-0.32,0,-0.01,0.29,2.22
best_model_3473,5.22090798468789,6,22.65,11.52,2.02,-11.92,-72.83,-75.48,3.46,-0.81,5.04,5.94,1.11,13.36,8.58,-0.42,-3.79,12.65,10.67,2.08,-0.09,4.96,4.4,0.72,0.79,0.79,0.44,-0.17,-1.45,-1.49,0.07,-0.03,0.4,3.52,0,2,0.6,0.72,0.69,-2.88,-0.26,0.27,-0.12,-0.13,0.02,-0.01,0.29,2.07
best_model_3474,4.91993222239527,3.69,12.87,6.82,2.2,-6.45,-0.71,-4.49,4.47,-0.7,3.66,3.64,2.57,17.68,9.08,1.18,-0.8,-23.81,-27.71,4.04,-0.14,3.68,5.36,0.71,0.79,0.8,1.38,-0.26,-1.89,-1.92,0.06,-0.03,0.38,3.11,0,2,0.42,0.48,0.5,-4.08,-0.26,0.26,0.09,0.09,0,-0.01,0.3,2.18
best_model_3475,4.61895646010261,24.97,39.02,28.32,3.92,-18.1,26.21,22.9,4.18,-0.88,8.9,10.64,3.7,13.18,9.09,2.12,2.84,69.41,67.3,2.22,-0.11,11.46,13.32,0.51,0.43,0.53,0.76,-0.11,-1.11,-1.16,0.07,-0.02,0.41,3.3,0,2,0.62,0.75,0.7,-2.22,-0.26,0.28,-0.24,-0.25,0.02,-0.01,0.3,2.25
best_model_3476,4.88517637885484,6.38,11.49,7.25,3.02,-0.65,28.02,26.58,1.87,-0.43,8.12,11.24,3.22,12.63,8.35,2,-3.66,83.15,81.11,2.13,-0.09,10.32,13.8,0.56,0.56,0.57,-0.12,-0.2,-1.04,-1.05,0.04,-0.02,0.38,3.48,0,2,0.61,0.64,0.66,-3.46,-0.23,0.3,-0.31,-0.3,0,-0.01,0.3,2.21
best_model_3477,4.55202173156279,6.66,12.57,7.8,3.18,-6.12,113.36,111.82,1.95,-0.4,9.9,10.26,4.89,15.4,8.83,1.78,-0.25,81.57,79.42,2.26,-0.11,11.9,13.68,0.5,0.43,0.48,0.34,-0.23,-1.8,-1.81,0.04,-0.02,0.34,3.03,1,2,0.61,0.71,0.65,-2.4,-0.26,0.29,-0.21,-0.22,0.01,-0.01,0.3,2.28
best_model_3478,4.43099984599223,5.95,24.82,11.98,2.02,-2.9,23.87,20.67,3.7,-0.5,7.2,6.6,1.49,15.09,8.26,0.02,-1.01,14.59,12.5,2.2,-0.11,6.34,5.2,0.51,0.46,0.5,1.16,-0.36,-0.7,-0.73,0.05,-0.02,0.38,3.11,-1,2,0.39,0.26,0.39,-6.54,-0.25,0.24,-0.22,-0.18,-0.04,-0.01,0.29,2.15
best_model_3479,4.33646077354545,3.19,15.94,8.94,1.78,-1.51,51.45,49.8,2.1,-0.45,5.12,3.98,3.22,18.37,9.45,1.22,-2.95,-38.5,-42.34,3.96,-0.12,5.24,5.56,0.76,0.78,0.84,1.06,-0.44,-2.29,-2.34,0.07,-0.03,0.4,3.49,-1,2,0.61,0.75,0.71,-2.92,-0.24,0.26,-0.45,-0.46,0.02,-0.01,0.28,2.18
best_model_348,6.91957190367538,3.48,2.38,5.28,-0.68,4.32,-39.58,-42.78,3.97,-0.77,0.86,-1.4,2.12,0.18,0.17,-1.14,6.32,-8.02,-9.65,1.88,-0.25,-1.4,-3.96,4.89,5.92,5.37,46.92,-1.62,-11.51,-11.88,0.47,-0.11,0.75,8.83,-10,-1,3.6,4,3.99,19.84,-0.4,1.09,-4.21,-4.38,0.25,-0.08,0.49,5.74
